Provider,Specific Plan Name,General_Usage,Supply_Charge,Upfront Credit,Link
Tango Energy,Value Select,14.54,160.60,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TAN531835MR.pdf
CovaU,Super Saver,19.97,102.70,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/COV532264MR.pdf
Lumo Energy,Value,22.83,90.84,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/LU2547218MR.pdf
Energy Locals,Daytime Saver,23.00,73.00,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENE544836MR.pdf
ENGIE,Perks,23.04,91.01,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534284MR.pdf
ENGIE,Seniors,23.04,91.01,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534024MR.pdf
OVO Energy,The One Plan,23.10,103.40,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548798MR.pdf
Amber,"No Feed-In, Variable Wholesale Prices (estimate only)",23.11,61.78,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB549143MR.pdf
ENGIE,GreenPower,23.37,92.31,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534254MR.pdf
ENGIE,Saver,23.37,92.31,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534064MR.pdf
Amber,Variable Wholesale Prices (estimate only),23.47,61.78,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB549093MR.pdf
Pacific Blue,Blue First,24.11,103.40,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1530238MR.pdf
Tango Energy,eSelect,24.11,103.40,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TAN525424MR.pdf
OVO Energy,The Basic Plan,24.26,108.57,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548810MR.pdf
ENGIE,Movers,24.35,96.21,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534044MR.pdf
ENGIE,Movie Perks,24.35,96.21,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534154MR.pdf
EnergyAustralia,Flexi Plan,24.36,96.21,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU541836MR.pdf
EnergyAustralia,Flexi Plan ($100 credit offer),24.36,96.21,100,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU541866MR.pdf
ENGIE,EV Night Time Saver,24.68,97.52,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534084MR.pdf
1st Energy,1st Saver 23,25.33,129.80,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479425MR.pdf
Kogan Energy,Free Kogan First,25.34,100.11,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PO2538120MR.pdf
Powershop,Power House,25.34,100.11,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/POD527963MR.pdf
AGL,Melbourne Victory Value Saver,25.67,101.41,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD530877MR.pdf
AGL,St Kilda Value Saver,25.67,101.41,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD539407MR.pdf
AGL,Value Saver,25.67,101.41,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD530905MR.pdf
AGL,Value Saver (Velocity),25.67,101.41,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD540091MR.pdf
AGL,Seniors Saver,25.67,101.41,25,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD530889MR.pdf
AGL,Melbourne Victory Value Saver - New AGL Customers,25.67,101.41,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD536485MR.pdf
AGL,St Kilda Value Saver - New AGL Customers,25.67,101.41,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD539423MR.pdf
AGL,Value Saver - New AGL Customers,25.67,101.41,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD549334MR.pdf
AGL,Value Saver (Velocity) - New AGL Customers,25.67,101.41,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD539690MR.pdf
AGL,Seniors Saver - New AGL Customers,25.67,101.41,175,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD536566MR.pdf
ENGIE,Solar,25.67,101.42,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534094MR.pdf
ENGIE,VPP,25.67,101.42,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534264MR.pdf
Alinta Energy,HomeSaver,25.67,101.42,100,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ALI538599MR.pdf
ENGIE,VPP BYO,25.67,101.42,300,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534294MR.pdf
AGL,Netflix Plan,25.67,107.43,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD537815MR.pdf
AGL,Netflix Plan - New AGL Customers,25.67,107.43,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD549363MR.pdf
Sumo,Switch,25.74,88.00,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/SPA524312MR.pdf
Nectr,100% Clean,25.97,102.59,50,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/NEC522176MR.pdf
Lumo Energy,Plus,25.98,102.68,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/LU2546008MR.pdf
Powershop,Switch Saver,26.25,113.48,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/POD548793MR.pdf
OVO Energy,The Free 3 Plan,26.29,103.40,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548828MR.pdf
Momentum Energy,EV Does It,26.51,117.04,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM532146MR.pdf
Momentum Energy,Nothing Fancy,26.51,117.04,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM522550MR.pdf
Momentum Energy,Warm Welcome,26.51,117.04,200,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM548259MR.pdf
Red Energy,Living Energy Saver,27.04,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545845MR.pdf
Red Energy,Qantas Red Saver,27.04,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545872MR.pdf
Red Energy,Red BCNA Saver,27.04,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545898MR.pdf
Red Energy,Red EV Saver,27.04,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545896MR.pdf
Red Energy,Red Wildlife Saver,27.04,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545915MR.pdf
Pacific Blue,Blue Home,27.06,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1490751MR.pdf
Tango Energy,Home Select,27.06,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TAN518915MR.pdf
Energy Locals,Local Member,27.50,73.00,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENE505277MR.pdf
Energy Locals,Online Member - Local Rewards,27.50,73.00,0,Error: No Link Found
Energy Locals,Online Member Summer Special,27.50,73.00,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENE514710MR.pdf
OVO Energy,The Basic Free 3 Plan,27.60,108.57,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548818MR.pdf
1st Energy,1st Saver 15,27.96,129.80,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479405MR.pdf
Origin Energy,Go Variable,27.98,110.52,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2543684MR.pdf
Origin Energy,Go Solar Variable,28.64,113.11,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2543707MR.pdf
Dodo,Residential Market,28.80,63.71,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/DOD541880MR.pdf
Origin Energy,Everyday Rewards Variable,29.29,115.72,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2543694MR.pdf
AGL,Solar Savers,29.95,118.32,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD540706MR.pdf
AGL,Solar Savers - New AGL Customers,29.95,118.32,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD549425MR.pdf
Powershop,Power Offset,30.13,135.51,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/POD537949MR.pdf
EnergyAustralia,Rate Fix Plan,30.29,119.62,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU527012MR.pdf
EnergyAustralia,Rate Fix Plan ($50 credit offer),30.29,119.62,50,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU537360MR.pdf
Pacific Blue,Green100,31.22,126.50,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1531165MR.pdf
Sumo,Assure,32.45,126.50,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/SPA495940MR.pdf
Momentum Energy,Bill Boss,32.89,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM500016MR.pdf
Momentum Energy,Suit Yourself,32.89,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM468671MR.pdf
ENGIE,Essentials,32.91,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534054MR.pdf
ENGIE,Standing Offer,32.91,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG535200SR.pdf
1st Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479320SR.pdf
Alinta Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ALI477041SR.pdf
CovaU,Basics,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/COV479917SR.pdf
EnergyAustralia,Balance Plan,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU526915MR.pdf
EnergyAustralia,Basic Home,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU527062SR.pdf
EnergyAustralia,Solar Max,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU527253MR.pdf
Kogan Energy,Basic,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PO2536250MR.pdf
Lumo Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/LU2496910SR.pdf
Momentum Energy,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM468851SR.pdf
Nectr,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/NEC467719SR.pdf
Origin Energy,Basic,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2516611MR.pdf
Origin Energy,Essentials Variable,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2520347MR.pdf
Origin Energy,Home Support,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2516635MR.pdf
Origin Energy,Solar Boost,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2542055MR.pdf
Origin Energy,Standing,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2516585SR.pdf
Pacific Blue,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1479826SR.pdf
Powershop,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/POD536286SR.pdf
Red Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED469263SR.pdf
Tango Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TAN479806SR.pdf
AGL,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD520358SR.pdf
Dodo,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/DOD472075SR.pdf
Energy Locals,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENE467784SR.pdf
OVO Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO467509SR.pdf
Sumo,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/SPA481720SR.pdf
EnergyAustralia,Solar Max ($50 credit offer),32.92,130.02,50,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU537401MR.pdf
OVO Energy,The EV Plan,33.33,103.40,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548843MR.pdf
Amber,Standing Offer - Fixed Rate,33.45,61.78,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB475482SR.pdf
OVO Energy,The Basic EV Plan,35.00,108.57,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548853MR.pdf
Alinta Energy,Carbon Balance,35.27,122.22,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ALI486645MR.pdf
1st Energy,1st Solar Bonus,36.85,129.80,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479445MR.pdf
Amber,Plan,44.33,61.78,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB475630MR.pdf
